CRN,DEPT,SUBJ,CRSENUMB
81359,FINB,INSU,350
81364,FINB,INBU,300
81365,FINB,INBU,320
81366,FINB,INBU,340
81367,FINB,INBU,360
81368,FINB,BECN,330
81369,FINB,BECN,330
81370,FINB,BECN,330
81371,FINB,BECN,330
81372,FINB,FINA,311
81374,FINB,FINA,311
81375,FINB,FINA,312
81376,FINB,FINA,313
81377,FINB,FINA,330
81378,FINB,FINA,363
81420,FINB,FINA,380
81424,ACCT,ACCT,201
81425,ACCT,ACCT,201
81427,ACCT,ACCT,201
81429,ACCT,ACCT,201
81430,ACCT,ACCT,201
81431,ACCT,ACCT,310
81432,ACCT,ACCT,311
81433,ACCT,ACCT,318
81434,ACCT,ACCT,320
81436,ACCT,ACCT,340
81437,ACCT,ACCT,350
81438,ACCT,BLAW,305
81449,ACCT,BLAW,305
81451,ACCT,BLAW,305
81453,ACCT,GACC,500
81454,ACCT,GACC,501
81455,ACCT,GLAW,500
81459,FINB,REEH,100
81460,MKTG,BCOM,320
81461,MKTG,BCOM,320
81462,MKTG,BCOM,320
81485,MKTG,GMKT,500
81491,MKTG,MKTG,310
81505,MKTG,MKTG,315
81506,MKTG,MKTG,320
81508,MKTG,MKTG,399
81509,MGMT,MGMT,1
81510,MGMT,MGMT,10
81511,MGMT,MGMT,10
81512,MGMT,MGMT,301
81515,MGMT,MGMT,301
81516,MGMT,MGMT,301
81517,MGMT,MGMT,304
81518,MGMT,MGMT,331
81519,MGMT,MGMT,350
81520,MGMT,MGMT,351
81521,MGMT,MGMT,390
81522,MGMT,HOSP,300
81526,MGMT,GMGT,500
81527,BUS,GMGT,599
81563,CSA,INFO,204
81564,CSA,INFO,385
81565,CSA,INFO,311
81566,CSA,INFO,311
81568,CSA,INFO,204
81569,CSA,INFO,204
81570,CSA,INFO,335
81571,CSA,INFO,335
81572,CSA,INFO,370
81574,MGMT,MGMT,20
82910,CSA,INFO,393
82933,CSA,GIST,501
83067,MGMT,MGMT,351
83113,MGMT,MGMT,22
83114,MGMT,MGMT,24
83115,MGMT,MGMT,26
83132,BUS,GFIN,501
83253,ACCT,ACCT,201
83337,FINB,INBU,365
83364,MGMT,GMGT,590
83462,ACCT,ACCT,343
83463,ACCT,ACCT,202
83504,ACCT,ACCT,202
83649,MGMT,MGMT,351
83650,MGMT,MGMT,390
83893,BUS,GFIN,505
83991,FINB,GECN,500
84024,MKTG,GCOM,500
84025,CSA,GIST,501
84162,CSA,INFO,311
84163,FINB,GECN,501
84319,CSA,GSCM,506
84320,CSA,SCHM,360
84395,FINB,FINA,311
84396,FINB,FINA,320
84397,CSA,INFO,335
84416,FINB,GFIN,503
84509,CSA,INFO,204
84510,FINB,FINA,311
84707,MKTG,MKTG,395
84780,CSA,SCHM,211
84823,CSA,SCHM,340
85075,MKTG,GMKT,501
85080,MKTG,MKTG,331
85313,CSA,INFO,396
85422,FINB,FINA,364
85465,MKTG,MKTG,361
85466,CSA,INFO,330
85573,CSA,INFO,398
85575,CSA,INFO,311
85658,MGMT,MGMT,307
85748,MGMT,MGMT,1
85749,BUS,GIST,509
85980,FINB,GFIN,500
85981,FINB,INSU,352
86193,ACCT,ACCT,201
86195,MGMT,MGMT,301
86196,MGMT,MGMT,301
86252,ACCT,ACCT,202
86312,CSA,INFO,210
86315,ACCT,BLAW,305
86492,MGMT,MGMT,308
86509,CSA,INFO,10
86510,CSA,INFO,10
86512,CSA,INFO,10
86587,CSA,GIST,503
86631,ACCT,ACCT,330
86658,MKTG,MKTG,301
86659,MKTG,MKTG,301
86660,MKTG,MKTG,301
86661,MKTG,MKTG,301
86662,MKTG,MKTG,301
86676,FINB,FINA,311
86677,FINB,GCRE,587
86678,MGMT,MGMT,301
86679,FINB,REEH,387
86681,MKTG,MKTG,355
86869,MKTG,BCOM,320
86870,ACCT,ACCT,202
86871,ACCT,ACCT,201
87267,CSA,SCHM,390
87333,CSA,INFO,10
87346,BUS,GSCM,590
87366,CSA,INFO,375
87469,FINB,GINB,599
87477,ACCT,ACCT,341
